cod_semestre,cod_facultad,cod_escuela,cod_plan,cod_asignatura,cod_alumno,val_calific_final
20171,20,1,2002  ,201101  ,06200023,11
20171,20,1,2002  ,201101  ,05200188,12
20171,20,1,2002  ,201101  ,08200095,15
20171,20,1,2002  ,201101  ,07200077,13
20171,20,1,2002  ,201101  ,08200198,12
20171,20,1,2002  ,201101  ,08200213,13
20171,20,1,2002  ,201101  ,994015  ,12
20171,20,1,2002  ,201101  ,05200150,16
20171,20,1,2002  ,201101  ,05200071,13
20171,20,1,2002  ,201101  ,08200054,11
20171,20,1,2002  ,201101  ,06200141,0
20171,20,1,2002  ,201101  ,07200061,0
20171,20,1,2002  ,201101  ,05200126,0
20171,20,1,2002  ,201103  ,05200161,14
20171,20,1,2002  ,201103  ,06200118,11
20171,20,1,2002  ,201103  ,07200203,12
20171,20,1,2002  ,201103  ,06200025,13
20171,20,1,2002  ,201103  ,06200198,13
20171,20,1,2002  ,201103  ,07200077,17
20171,20,1,2002  ,201103  ,07200124,9
20171,20,1,2002  ,201103  ,07200028,9
20171,20,1,2002  ,201103  ,08200094,12
20171,20,1,2002  ,201103  ,02200001,12
20171,20,1,2002  ,201103  ,05200179,12
20171,20,1,2002  ,201103  ,08200198,12
20171,20,1,2002  ,201103  ,994015  ,14
20171,20,1,2002  ,201103  ,08200054,12
20171,20,1,2002  ,201104  ,07200122,5
20171,20,1,2002  ,201104  ,07200124,13
20171,20,1,2002  ,201104  ,08200094,12
20171,20,1,2002  ,201104  ,06200023,13
20171,20,1,2002  ,201104  ,05200186,13
20171,20,1,2002  ,201104  ,05200133,13
20171,20,1,2002  ,201104  ,07200067,14
20171,20,1,2002  ,201104  ,07200104,15
20171,20,1,2002  ,201104  ,07200028,14
20171,20,1,2002  ,201104  ,06200198,14
20171,20,1,2002  ,201104  ,05200108,14
20171,20,1,2002  ,201104  ,08200054,14
20171,20,1,2002  ,201104  ,08200102,13
20171,20,1,2002  ,201104  ,07200087,14
20171,20,1,2002  ,201104  ,06200078,13
20171,20,1,2002  ,201104  ,05200053,4
20171,20,1,2002  ,201104  ,07200158,13
20171,20,1,2002  ,201104  ,07200061,0
20171,20,1,2002  ,201104  ,08200008,4
20171,20,1,2002  ,201105  ,02200043,15
20171,20,1,2002  ,201105  ,06200078,12
20171,20,1,2002  ,201105  ,07200158,12
20171,20,1,2002  ,201105  ,07200124,16
20171,20,1,2002  ,201105  ,07200028,15
20171,20,1,2002  ,201105  ,08200114,18
20171,20,1,2002  ,201105  ,08200095,15
20171,20,1,2002  ,201105  ,08200198,16
20171,20,1,2002  ,201105  ,08200046,15
20171,20,1,2002  ,201105  ,04200141,15
20171,20,1,2002  ,201105  ,03200108,5
20171,20,1,2002  ,201105  ,07200001,5
20171,20,1,2002  ,201105  ,06200141,0
20171,20,1,2002  ,201105  ,08200197,15
20171,20,1,2002  ,201105  ,08200047,16
20171,20,1,2002  ,201105  ,05200126,0
20171,20,1,2002  ,201105  ,06200023,16
20171,20,1,2002  ,201105  ,07200203,15
20171,20,1,2002  ,201105  ,06200167,14
20171,20,1,2002  ,201105  ,08200116,14
20171,20,1,2002  ,201105  ,08200122,14
20171,20,1,2002  ,201105  ,05200070,14
20171,20,1,2002  ,201105  ,941972  ,16
20171,20,1,2002  ,201105  ,04200037,15
20171,20,1,2002  ,201105  ,08200044,16
20171,20,1,2002  ,201105  ,08200066,14
20171,20,1,2002  ,201105  ,08200174,15
20171,20,1,2002  ,201105  ,02200037,15
20171,20,1,2002  ,201105  ,02200001,14
20171,20,1,2002  ,201105  ,06200126,14
20171,20,1,2002  ,201105  ,04200181,14
20171,20,1,2002  ,201105  ,05200108,0
20171,20,1,2002  ,201105  ,983002  ,14
20171,20,1,2002  ,201105  ,06200054,0
20171,20,1,2002  ,201105  ,07200174,0
20171,20,1,2002  ,201105  ,06200050,0
20171,20,1,2002  ,201105  ,07200003,6
20171,20,1,2002  ,201105  ,07200136,0
20171,20,1,2002  ,201105  ,05200188,16
20171,20,1,2002  ,201105  ,07200147,9
20171,20,1,2002  ,201105  ,08200170,15
20171,20,1,2002  ,201105  ,08200149,15
20171,20,1,2002  ,201105  ,03200105,11
20171,20,1,2002  ,201105  ,06200214,15
20171,20,1,2002  ,201105  ,05200017,0
20171,20,1,2002  ,201106  ,08200188,15
20171,20,1,2002  ,201106  ,05200095,0
20171,20,1,2002  ,201106  ,08200094,11
20171,20,1,2002  ,201106  ,08200054,11
20171,20,1,2002  ,201106  ,08200112,11
20171,20,1,2002  ,201106  ,07200158,0
20171,20,1,2002  ,201106  ,07200124,14
20171,20,1,2002  ,201106  ,08200098,11
20171,20,1,2002  ,201106  ,06200050,13
20171,20,1,2002  ,201106  ,08200092,11
20171,20,1,2002  ,201106  ,05200071,13
20171,20,1,2002  ,201106  ,08200135,11
20171,20,1,2002  ,201203M ,05200104,11
20171,20,1,2002  ,201203M ,05200035,0
20171,20,1,2002  ,201203M ,05200057,5
20171,20,1,2002  ,201203M ,07200001,10
20171,20,1,2002  ,201203M ,08200098,3
20171,20,1,2002  ,201203M ,06200198,11
20171,20,1,2002  ,201203M ,08200081,0
20171,20,1,2002  ,201203M ,04200037,12
20171,20,1,2002  ,201203M ,08200135,0
20171,20,1,2002  ,201203M ,07200136,0
20171,20,1,2002  ,201203M ,08200056,12
20171,20,1,2002  ,201205  ,00110883,15
20171,20,1,2002  ,201205  ,06200078,13
20171,20,1,2002  ,201205  ,05200179,11
20171,20,1,2002  ,201205  ,05200188,15
20171,20,1,2002  ,201205  ,07200158,15
20171,20,1,2002  ,201205  ,07200203,14
20171,20,1,2002  ,201205  ,07200124,14
20171,20,1,2002  ,201205  ,08200213,14
20171,20,1,2002  ,201205  ,994015  ,12
20171,20,1,2002  ,201205  ,08200174,12
20171,20,1,2002  ,201206  ,07200174,5
20171,20,1,2002  ,201206  ,08200046,3
20171,20,1,2002  ,201207  ,983002  ,13
20171,20,1,2002  ,201207  ,05200133,4
20171,20,1,2002  ,201207  ,07200100,12
20171,20,1,2002  ,201207  ,07200055,11
20171,20,1,2002  ,201207  ,08200213,8
20171,20,1,2002  ,201207  ,05200150,12
20171,20,1,2002  ,201207  ,08200169,7
20171,20,1,2002  ,201207  ,07200087,13
20171,20,1,2002  ,201208  ,08200197,12
20171,20,1,2002  ,201208  ,08200135,12
20171,20,1,2002  ,201208  ,05200161,11
20171,20,1,2002  ,201208  ,08200149,13
20171,20,1,2002  ,201208  ,08200046,13
20171,20,1,2002  ,201208  ,05200126,0
20171,20,1,2002  ,201210  ,07200174,0
20171,20,1,2002  ,201210  ,07200028,12
20171,20,1,2002  ,201210  ,05200126,0
20171,20,1,2002  ,201210  ,07200136,0
20171,20,1,2002  ,201211  ,07200158,11
20171,20,1,2002  ,201211  ,07200100,12
20171,20,1,2002  ,201211  ,07200077,14
20171,20,1,2002  ,201211  ,08200198,13
20171,20,1,2002  ,201211  ,08200213,12
20171,20,1,2002  ,201211  ,08200008,12
20171,20,1,2002  ,202001  ,06200147,1
20171,20,1,2002  ,202009  ,00110626,11
20171,20,1,2002  ,203004  ,07200098,12
20171,20,1,2002  ,203005  ,05200046,15
20171,20,1,2002  ,203006  ,05200100,0
20171,20,1,2002  ,203006  ,06200147,13
20171,20,1,2002  ,203006  ,07200085,4
20171,20,1,2002  ,203007  ,06200147,12
20171,20,1,2002  ,203007  ,05200046,0
20171,20,1,2002  ,203007  ,05200100,0
20171,20,1,2002  ,204002  ,02200022,11
20171,20,1,2002  ,204002  ,962909  ,0
20171,20,1,2002  ,204004  ,05200046,0
20171,20,1,2002  ,204004  ,04200053,14
20171,20,1,2002  ,204006  ,07200108,14
20171,20,1,2002  ,204006  ,02200022,12
20171,20,1,2002  ,204006  ,05200009,15
20171,20,1,2002  ,205001  ,07200164,0
20171,20,1,2002  ,205001  ,08200048,0
20171,20,1,2002  ,205006  ,06200147,11
20171,20,1,2002  ,205006  ,08200061,0
20171,20,1,2002  ,205006  ,07200136,0
20171,20,1,2002  ,205006  ,08200036,0
20171,20,1,2002  ,205006  ,08200098,8
20171,20,1,2002  ,205006  ,04200074,0
20171,20,1,2002  ,205007  ,07200164,7
20171,20,1,2002  ,205007  ,06200071,11
20171,20,1,2002  ,205008  ,07200164,0
20171,20,1,2002  ,205008  ,02200022,15
20171,20,1,2002  ,205008  ,06200206,16
20171,20,1,2002  ,205009  ,08200163,13
20171,20,1,2002  ,205009  ,05200056,0
20171,20,1,2002  ,205010  ,08200016,12
20171,20,1,2002  ,205010  ,05200100,0
20171,20,1,2002  ,205010  ,06200147,10
20171,20,1,2002  ,206001  ,05200143,12
20171,20,1,2002  ,206001  ,04200146,13
20171,20,1,2002  ,206001  ,06200166,8
20171,20,1,2002  ,206001  ,08200016,13
20171,20,1,2002  ,206001  ,06200206,14
20171,20,1,2002  ,206007  ,06200166,11
20171,20,1,2002  ,206007  ,08200135,11
20171,20,1,2002  ,206007  ,08200098,16
20171,20,1,2002  ,206007  ,08200061,2
20171,20,1,2002  ,206008  ,08200188,0
20171,20,1,2002  ,206008  ,08200135,10
20171,20,1,2002  ,206008  ,08200098,6
20171,20,1,2002  ,206008  ,08200192,6
20171,20,1,2002  ,206008  ,06200166,6
20171,20,1,2002  ,206010  ,01114197,14
20171,20,1,2002  ,206010  ,05200143,14
20171,20,1,2002  ,206011  ,05200143,15
20171,20,1,2002  ,206011  ,08200098,14
20171,20,1,2002  ,206011  ,08200192,14
20171,20,1,2002  ,206011  ,04200146,15
20171,20,1,2002  ,206011  ,06200206,16
20171,20,1,2002  ,206011  ,06200166,14
20171,20,1,2002  ,206011  ,08200135,13
20171,20,1,2002  ,207002  ,01114198,0
20171,20,1,2002  ,207002  ,08200021,12
20171,20,1,2002  ,207002  ,05200035,0
20171,20,1,2002  ,207002  ,05200057,2
20171,20,1,2002  ,207002  ,08200098,13
20171,20,1,2002  ,207002  ,08200092,11
20171,20,1,2002  ,207002  ,04200074,11
20171,20,1,2002  ,207002  ,08200135,2
20171,20,1,2002  ,207003  ,07200122,11
20171,20,1,2002  ,207003  ,08200192,5
20171,20,1,2002  ,207003  ,05200143,11
20171,20,1,2002  ,207003  ,08200188,11
20171,20,1,2002  ,207003  ,08200169,5
20171,20,1,2002  ,207003  ,08200176,5
20171,20,1,2002  ,207003  ,08200090,5
20171,20,1,2002  ,207007  ,01114198,0
20171,20,1,2002  ,207007  ,05200143,14
20171,20,1,2002  ,207007  ,80A662  ,12
20171,20,1,2002  ,207007  ,08200210,0
20171,20,1,2002  ,207007  ,08200188,13
20171,20,1,2002  ,207007  ,08200073,9
20171,20,1,2002  ,207007  ,08200092,13
20171,20,1,2002  ,207007  ,04200146,14
20171,20,1,2002  ,207007  ,06200206,14
20171,20,1,2002  ,207008  ,07200092,13
20171,20,1,2002  ,207008  ,942004  ,13
20171,20,1,2002  ,207008  ,08200073,0
20171,20,1,2002  ,207008  ,08200135,0
20171,20,1,2002  ,207008  ,05200053,0
20171,20,1,2002  ,207008  ,05200057,0
20171,20,1,2002  ,207008  ,08200098,18
20171,20,1,2002  ,207008  ,08200188,12
20171,20,1,2002  ,207008  ,08200087,12
20171,20,1,2002  ,207008  ,997985  ,16
20171,20,1,2002  ,207008  ,04200074,12
20171,20,1,2002  ,207008  ,08200061,12
20171,20,1,2002  ,207008  ,08200090,0
20171,20,1,2002  ,207009  ,00110878,13
20171,20,1,2002  ,207009  ,05200143,12
20171,20,1,2002  ,207009  ,05200053,0
20171,20,1,2002  ,207009  ,80A662  ,1
20171,20,1,2002  ,207009  ,08200073,0
20171,20,1,2002  ,207009  ,07200186,12
20171,20,1,2002  ,207009  ,06200150,14
20171,20,1,2002  ,207009  ,08200061,9
